mal_id,title,title_english,title_japanese,genres,url,item_idx
1145,Kaze no Youjinbou,Kaze no Yojimbo,旋風の用心棒,"['Action', 'Drama', 'Mystery']",https://myanimelist.net/anime/1145/Kaze_no_Youjinbou,927.0
4082,Kaibutsu Oujo: Konsui Oujo,Princess Comatose,怪物王女　第26話「昏睡王女」,"['Action', 'Comedy', 'Horror', 'Supernatural']",https://myanimelist.net/anime/4082/Kaibutsu_Oujo__Konsui_Oujo,2600.0
10694,Bloods: Inraku no Ketsuzoku 2,,Bloods～淫落の血族2～,['Hentai'],https://myanimelist.net/anime/10694/Bloods__Inraku_no_Ketsuzoku_2,3934.0
17635,Koitabi: True Tours Nanto,,恋旅～True Tours Nanto～,['Romance'],https://myanimelist.net/anime/17635/Koitabi__True_Tours_Nanto,4614.0
52137,Reflect,,REFLECT,['Fantasy'],https://myanimelist.net/anime/52137/Reflect,8692.0
554,Koutetsu Tenshi Kurumi,Steel Angel Kurumi,鋼鉄天使くるみ,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']",https://myanimelist.net/anime/554/Koutetsu_Tenshi_Kurumi,480.0
2873,Bible Black Only Version,Bible Black Only,バイブルブラック・オンリー版,['Hentai'],https://myanimelist.net/anime/2873/Bible_Black_Only_Version,2097.0
2361,Sei Juushi Bismarck,Saber Rider and the Star Sheriffs,星銃士 ビスマルク,"['Action', 'Adventure', 'Sci-Fi']",https://myanimelist.net/anime/2361/Sei_Juushi_Bismarck,1788.0
55848,Isekai Suicide Squad,Suicide Squad Isekai,異世界スーサイド・スクワッド,"['Action', 'Fantasy']",https://myanimelist.net/anime/55848/Isekai_Suicide_Squad,9059.0
24451,Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,,彼女がフラグをおられたら クリスマス? そんな物が僕に通用すると思うのか?,"['Comedy', 'Romance']",https://myanimelist.net/anime/24451/Kanojo_ga_Flag_wo_Oraretara__Christmas_Sonna_Mono_ga_Boku_ni_Tsuuyou_Suru_to_Omou_no_ka,5147.0
42106,Jiang Ziya,Jiang Ziya,姜子牙,"['Action', 'Adventure', 'Fantasy']",https://myanimelist.net/anime/42106/Jiang_Ziya,7833.0
88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,"['Action', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/88/Kidou_Senshi_Gundam_F91,65.0
39995,Super Senko-san Time Episode 12,,第12話 スーパー仙狐さんタイム,"['Comedy', 'Supernatural']",https://myanimelist.net/anime/39995/Super_Senko-san_Time_Episode_12,7449.0
16638,Fault!! Service: Aratanaru Rival,,フォルト!!S(サービス)~新たなる恋敵(ライバル)~,['Hentai'],https://myanimelist.net/anime/16638/Fault_Service__Aratanaru_Rival,4538.0
35228,Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,Haikara-san: Here Comes Miss Modern Part 2,劇場版 はいからさんが通る 後編 ～花の東京大ロマン～,"['Comedy', 'Romance']",https://myanimelist.net/anime/35228/Haikara-san_ga_Tooru_Movie_2__Hana_no_Tokyo_Dai_Roman,6455.0
12685,Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,Code Geass: Lelouch of the Rebellion - Nunnally in Wonderland,コードギアス 反逆のルルーシュ ナナリーinワンダーランド,"['Comedy', 'Fantasy']",https://myanimelist.net/anime/12685/Code_Geass__Hangyaku_no_Lelouch_-_Nunnally_in_Wonderland,4191.0
241,Girls Bravo: First Season,Girls Bravo,GIRLSブラボー first season,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",https://myanimelist.net/anime/241/Girls_Bravo__First_Season,206.0
38015,Shika no Ou: Yuna to Yakusoku no Tabi,The Deer King,鹿の王 ユナと約束の旅,"['Action', 'Adventure', 'Fantasy']",https://myanimelist.net/anime/38015/Shika_no_Ou__Yuna_to_Yakusoku_no_Tabi,7042.0
1124,Seikai no Danshou: Tanjou,Crest of the Stars: Birth,星界の断章 “誕生”,"['Romance', 'Sci-Fi']",https://myanimelist.net/anime/1124/Seikai_no_Danshou__Tanjou,911.0
29809,3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,,3PingLovers!☆一夫二妻の世界へようこそ♪ THE ANIMATION,['Hentai'],https://myanimelist.net/anime/29809/3Ping_Lovers☆Ippu_Nisai_no_Sekai_e_Youkoso♪_The_Animation,5441.0
35237,Hajimete no Gal: Hajimete no Bunkasai,My First Girlfriend is a Gal: My First Cultural Festival,はじめてのギャル はじめての文化祭,"['Comedy', 'Romance', 'Ecchi']",https://myanimelist.net/anime/35237/Hajimete_no_Gal__Hajimete_no_Bunkasai,6457.0
24591,Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,"Yo-kai Watch the Movie: It's the Secret of Birth, Meow!",映画 妖怪ウォッチ　誕生の秘密だニャン！,"['Award Winning', 'Comedy', 'Supernatural']",https://myanimelist.net/anime/24591/Youkai_Watch_Movie_1__Tanjou_no_Himitsu_da_Nyan,5155.0
221,Mezzo Forte,,メゾフォルテ,"['Action', 'Comedy', 'Sci-Fi', 'Hentai']",https://myanimelist.net/anime/221/Mezzo_Forte,188.0
4473,Shoujo Sect,Shoujo Sect,少女セクト,"['Girls Love', 'Hentai']",https://myanimelist.net/anime/4473/Shoujo_Sect,2686.0
37815,Niizuma Koyomi The Animation,,新妻こよみ THE ANIMATION,['Hentai'],https://myanimelist.net/anime/37815/Niizuma_Koyomi_The_Animation,6973.0
26395,Teekyuu 4,Teekyu 4,てーきゅう ４期,['Comedy'],https://myanimelist.net/anime/26395/Teekyuu_4,5258.0
22537,Yami Shibai 2,Theatre of Darkness: Yamishibai 2,闇芝居 2期,"['Avant Garde', 'Horror', 'Supernatural']",https://myanimelist.net/anime/22537/Yami_Shibai_2,5005.0
10197,Nyanpire The Animation,,にゃんぱいあ The Animation,"['Comedy', 'Supernatural']",https://myanimelist.net/anime/10197/Nyanpire_The_Animation,3819.0
12671,Pokemon Movie 15: Kyurem vs. Seikenshi,Pokémon the Movie: Kyurem VS. The Sword of Justice,劇場版 ポケットモンスター ベストウイッシュ キュレムVS聖剣士,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",https://myanimelist.net/anime/12671/Pokemon_Movie_15__Kyurem_vs_Seikenshi,4187.0
50010,Meitantei Conan: Hannin no Hanzawa-san,Detective Conan: The Culprit Hanzawa,名探偵コナン 犯人の犯沢さん,"['Comedy', 'Mystery']",https://myanimelist.net/anime/50010/Meitantei_Conan__Hannin_no_Hanzawa-san,8390.0
31810,Amakano,,アマカノ,['Hentai'],https://myanimelist.net/anime/31810/Amakano,5776.0
2706,Bakusou Kyoudai Let's & Go WGP,,爆走兄弟レッツ＆ゴー!!　ＷＧＰ,[],https://myanimelist.net/anime/2706/Bakusou_Kyoudai_Lets___Go_WGP,1999.0
31621,Ooya-san wa Shishunki!,Landlord is in Puberty!,大家さんは思春期！,['Slice of Life'],https://myanimelist.net/anime/31621/Ooya-san_wa_Shishunki,5720.0
25285,Seireitsukai no Blade Dance Specials,Blade Dance of the Elementalers Specials,精霊使いの剣舞〈ブレイドダンス〉ミニOVA,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",https://myanimelist.net/anime/25285/Seireitsukai_no_Blade_Dance_Specials,5204.0
3970,Sentakuya Shin-chan,Dirty Laundry,洗濯屋しんちゃん,['Hentai'],https://myanimelist.net/anime/3970/Sentakuya_Shin-chan,2555.0
598,Jinzou Ningen Kikaider The Animation,Android Kikaider - The Animation,人造人間キカイダーTHE ANIMATION,"['Action', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/598/Jinzou_Ningen_Kikaider_The_Animation,518.0
31670,Kaitou Joker 3rd Season,JOKER 3rd Season,怪盗ジョーカー シーズン,"['Adventure', 'Comedy', 'Mystery']",https://myanimelist.net/anime/31670/Kaitou_Joker_3rd_Season,5735.0
17745,Kakushi Dere,Lust-Struck Trilogy,かくしデレ,['Hentai'],https://myanimelist.net/anime/17745/Kakushi_Dere,4634.0
9203,K-On!!: Ura-On!!,K-ON!!: Ura-On!!,うらおん!!,['Comedy'],https://myanimelist.net/anime/9203/K-On__Ura-On,3621.0
5032,Cobra The Animation,,COBRA THE ANIMATION,"['Action', 'Adventure', 'Sci-Fi']",https://myanimelist.net/anime/5032/Cobra_The_Animation,2827.0
33047,Fate/Extra: Last Encore,Fate/Extra: Last Encore,Fate/EXTRA Last Encore,"['Action', 'Fantasy']",https://myanimelist.net/anime/33047/Fate_Extra__Last_Encore,6003.0
